"에너지원별(1)",에너지원별(2),에너지원별(3),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"에너지원별(1)",에너지원별(2),에너지원별(3),전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"신·재생에너지 합계①+② (toe)",소계,소계,12378065,303099,189363,149874,489348,97865,90625,493628,73803,1554853,1306481,720895,1764287,1760693,1225665,925025,651123,581437,14000317,325737,213516,184664,595688,99072,91966,501111,84544,1664252,1558778,697775,1985783,2116947,1465050,1080720,710771,623944,15706206,317023,236408,179814,586824,128439,114634,480459,90157,1782795,1730425,851656,2163189,2539588,1754851,1288507,782019,679417
"신·재생에너지 합계①+② (toe)",① 재생에너지 합,소계,11115797,230350,150083,148164,286243,97126,83484,490626,65338,1292205,1296002,720753,1160278,1758844,1189846,918136,646925,581394,12510554,232226,150968,181487,276678,98033,83514,489254,75206,1354582,1527182,686054,1422595,2114538,1416169,1072946,705268,623855,14134169,245539,166498,176575,299790,114533,96207,434258,81552,1453494,1671606,807715,1640544,2515875,1692575,1282200,775878,679329
"신·재생에너지 합계①+② (toe)",② 신에너지 합,소계,1262268,72749,39280,1710,203105,739,7141,3002,8465,262648,10479,141,604009,1850,35819,6890,4198,44,1489762,93510,62548,3177,319009,1039,8453,11857,9338,309670,31596,11721,563188,2409,48881,7774,5503,89,1572037,71483,69911,3238,287034,13906,18427,46201,8605,329301,58819,43942,522644,23713,62277,6308,6142,88
"신·재생에너지 지역별 공급비중 (%)",소계,소계,100.00,2.45,1.53,1.21,3.95,0.79,0.73,3.99,0.60,12.56,10.55,5.82,14.25,14.22,9.90,7.47,5.26,4.70,100.00,2.33,1.53,1.32,4.25,0.71,0.66,3.58,0.60,11.89,11.13,4.98,14.18,15.12,10.46,7.72,5.08,4.46,100.00,2.02,1.51,1.14,3.74,0.82,0.73,3.06,0.57,11.35,11.02,5.42,13.77,16.17,11.17,8.20,4.98,4.33
"① 재생에너지",태양열 (toe),소계,26048,621,732,837,616,568,616,331,116,2433,2848,1290,2288,1248,3074,4163,3931,336,25568,561,686,738,577,540,570,307,109,2305,2684,1345,2132,1215,3296,4298,3899,306,25035,503,617,648,543,520,528,277,102,2208,2492,1289,2079,1216,3532,4328,3874,279
"① 재생에너지",태양광 (toe),소계,4165154,51584,49938,37493,42122,63325,20566,27380,18649,314446,302800,241466,531816,694095,850720,497421,315560,105775,5317227,55298,58882,44631,49014,70029,23997,32384,20576,384178,393308,304063,663622,905410,1112350,659785,394225,145474,6609387,65697,71015,55601,57128,84614,30136,38903,24538,464713,468677,369737,792320,1183907,1364272,875924,492688,169517
"① 재생에너지",태양광 (toe),사업용,3504379,9283,29128,21278,21107,48889,7852,15002,12063,208241,262761,186563,478113,643274,786638,443730,242378,88079,4567632,10142,35733,25967,24597,53656,9049,19151,13334,265796,346731,242721,600768,846440,1039691,596926,311712,125217,5683463,11102,43416,32857,26773,64017,11176,23094,15598,317901,411415,296031,712666,1110016,1276247,795013,391363,144777
"① 재생에너지",태양광 (toe),자가용,660775,42301,20810,16215,21015,14437,12714,12378,6587,106205,40038,54903,53703,50821,64082,53691,73182,17696,749595,45156,23149,18664,24417,16373,14948,13233,7242,118383,46578,61342,62854,58970,72658,62859,82514,20256,925924,54595,27599,22744,30354,20598,18960,15809,8940,146812,57262,73706,79653,73890,88024,80912,101325,24740
"① 재생에너지",풍력 (toe),소계,671107,47,56,6,11255,0,91,323,-,1202,166671,6,640,27948,122787,201093,15828,123154,677507,45,15,6,8415,1,87,372,-,998,201821,11,437,31080,111982,194906,14551,112780,717864,46,16,6,8263,2,88,54,-,959,203379,17,456,34440,124776,194644,28436,122284
"① 재생에너지",풍력 (toe),사업용,668708,-,31,-,11212,-,-,320,-,1187,166188,-,625,27939,122072,200912,15450,122772,675174,-,1,-,8365,-,-,368,-,982,201339,-,421,31069,111298,194728,14189,112414,715435,-,1,-,8203,-,-,49,-,941,202876,-,430,34427,124071,194460,28067,121908
"① 재생에너지",풍력 (toe),자가용,2398,47,25,6,43,0,91,3,-,15,483,6,15,9,715,181,377,381,2332,45,14,6,50,1,87,4,-,16,482,11,16,11,684,178,362,366,2429,46,15,6,60,2,88,4,-,18,502,17,26,13,705,183,369,376
"① 재생에너지",수력 (toe),소계,826344,237,21,2759,8431,1660,55,310,-,138452,226264,215136,13122,60872,24308,67950,66040,728,651227,132,9,3092,8765,1753,59,244,-,134900,151904,155715,12205,50892,18346,62247,50280,685,755117,81,55,3188,6481,1335,28,93,-,152857,249064,175602,11157,45345,11936,50805,46485,606
"① 재생에너지",수력 (toe),사업용,825838,237,8,2759,8423,1660,-,310,-,138103,226264,215136,13099,60872,24308,67950,66040,670,650633,132,7,3092,8603,1753,-,244,-,134593,151904,155715,12190,50892,18346,62247,50280,635,754249,81,7,3188,6057,1335,-,93,-,152535,249064,175602,11154,45345,11936,50805,46485,562
"① 재생에너지",수력 (toe),자가용,506,-,13,-,8,-,55,-,-,349,-,-,23,-,-,-,-,58,594,-,1,-,161,-,59,-,-,307,-,-,15,-,-,-,-,50,869,-,48,-,424,-,28,-,-,322,-,-,3,-,-,-,-,44
"① 재생에너지",해양 (toe),소계,97397,-,-,-,-,-,-,-,-,97396,-,-,-,-,-,-,-,1,96911,-,-,-,-,-,-,-,-,96907,-,-,-,-,3,-,-,1,90279,-,-,-,-,-,-,-,-,90278,-,-,-,-,1,-,-,0
"① 재생에너지",지열 (toe),소계,240933,16451,2980,7441,8483,3753,5281,4196,14910,52494,19691,12166,20659,21015,17203,17327,15113,1771,255590,17900,3104,8395,8666,3835,5807,4414,15683,55341,21462,13116,21792,21717,18687,18454,15448,1771,279650,20070,3610,9877,9912,3914,7025,4839,16258,60038,24057,14148,24069,23817,19374,20559,16312,1771
"① 재생에너지",수열 (toe),소계,23647,-,46,-,157,-,-,-,-,8,661,5,1814,804,13564,587,4159,1844,24756,18,46,-,157,-,-,-,-,19,684,5,1909,841,14078,661,4412,1927,26543,18,73,-,157,-,-,17,-,97,709,15,1979,904,15175,739,4706,1955
"① 재생에너지",바이오 (toe),소계,3899174,91892,57336,77835,166108,25826,28511,372251,24117,444247,397513,97780,543873,900217,73455,94521,169316,334375,4263576,81856,51370,103172,153890,20475,26553,355707,30497,426130,539973,62300,680646,1053063,71578,96082,164483,345800,4372872,89647,58160,73361,167582,22761,25098,286450,35240,431014,481691,71941,767937,1178969,83502,102072,124747,372699
"① 재생에너지",바이오 (toe),바이오가스,95385,12012,3715,5664,6192,4716,2157,6785,1044,16660,3783,4671,2400,17343,424,2256,4752,811,114343,12841,2793,12242,4881,3066,3937,7570,1044,20887,3924,4909,2969,13044,479,2706,12613,4437,101807,13537,5488,6854,5947,2660,6045,6445,549,21107,4193,4348,2659,10936,515,3205,6444,875
"① 재생에너지",바이오 (toe),매립지가스,62190,1526,1519,15727,33012,1018,6587,-,-,-,436,162,-,73,1485,-,219,424,81226,1578,1811,33995,35186,662,5718,-,-,-,352,129,-,-,1297,-,0,496,69389,1587,1381,22752,40168,650,1009,-,-,-,266,108,-,-,1088,-,-,379
"① 재생에너지",바이오 (toe),바이오디젤,689957,76527,38860,32521,46095,18845,17661,15625,4496,168269,25874,26419,36114,30216,37060,46417,51665,17291,597068,65606,33522,27269,38294,16143,15048,13308,3968,147924,22417,22992,31211,26086,33165,40085,44738,15292,683019,74006,37795,31065,42131,18455,17204,14970,4613,170991,25840,26508,36089,30014,38575,46003,51567,17192
"① 재생에너지",바이오 (toe),우드칩,237346,-,7174,22443,49200,-,-,32065,-,34680,3110,-,77907,4140,4050,524,-,2054,231309,-,7174,28734,12811,-,-,30408,-,36082,7536,-,86376,13082,8009,68,-,1030,170717,-,8398,11821,14462,-,-,27356,-,2662,342,-,85823,6826,13029,-,-,-
"① 재생에너지",바이오 (toe),성형탄,10858,1788,677,443,454,301,330,314,54,2268,544,442,500,361,440,764,938,241,10598,1766,681,465,528,298,313,271,65,2520,428,384,466,363,407,649,806,189,2645,437,170,118,134,72,79,66,17,634,107,95,116,90,99,160,200,50
"① 재생에너지",바이오 (toe),임산연료,142876,-,-,616,56,946,441,141,246,22292,29857,41174,19159,8379,7546,9360,2507,154,96770,27,-,46,163,307,202,-,308,7425,26586,9655,9692,5806,6704,19586,9241,1023,157598,43,62,162,173,924,496,104,1045,18477,38460,21496,17984,22506,8371,19118,7290,888
"① 재생에너지",바이오 (toe),목재펠릿,1325675,38,5390,421,981,-,1335,775,593,27501,284092,22446,146897,682841,16550,24565,88022,23229,1787454,38,5390,421,978,-,1335,775,456,32109,439766,21764,304001,844567,16538,24471,70962,23882,1836137,37,4867,589,978,-,265,794,456,19945,368854,18120,359623,959766,16241,26706,47906,10991
"① 재생에너지",바이오 (toe),폐목재,72501,-,-,-,6523,-,-,-,-,11188,-,862,27676,26207,-,-,45,-,66622,-,-,-,6446,-,-,-,-,11045,-,862,25128,23141,-,-,-,-,65629,-,-,-,5429,-,-,-,-,2141,183,146,33199,24531,-,-,-,-
"① 재생에너지",바이오 (toe),흑액,197589,-,-,-,-,-,-,197589,-,-,-,-,-,-,-,-,-,-,212208,-,-,-,-,-,-,212208,-,-,-,-,-,-,-,-,-,-,224899,-,-,-,-,-,-,224899,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",바이오 (toe),하수슬러지 고형연료,154832,-,-,-,-,-,-,-,-,61193,-,-,64172,-,-,10636,18831,-,152762,-,-,-,-,-,-,-,-,60438,-,-,65850,-,-,8517,17957,-,66808,-,-,-,-,-,-,-,-,46644,-,-,13285,-,-,6879,-,-
"① 재생에너지",바이오 (toe),Bio-SRF,501406,-,-,-,23594,-,-,-,17682,100196,49817,1605,169048,130656,5901,-,2336,570,522913,-,-,-,54602,-,-,-,24657,107699,38963,1605,154953,126973,4980,-,8165,316,641883,-,-,-,58162,-,-,-,28560,148413,43445,1119,219158,124301,5584,-,11340,1800
"① 재생에너지",바이오 (toe),바이오중유,408559,-,-,-,-,-,-,118958,-,-,-,-,-,-,-,-,-,289602,390302,-,-,-,-,-,-,91168,-,-,-,-,-,-,-,-,-,299135,352340,-,-,-,-,-,-,11816,-,-,-,-,-,-,-,-,-,340524
"① 재생에너지",폐기물 (toe),소계,1165993,69519,38974,21793,49071,1992,28363,85835,7547,241528,179556,152904,46066,52645,84735,35074,56979,13411,1198193,76416,36856,21454,47195,1400,26441,95826,8340,253804,215346,149498,39853,50321,65850,36512,57968,15112,1257422,69477,32952,33895,49723,1387,33304,103624,5414,251332,241538,174966,40548,47277,70007,33129,58631,10218
"① 재생에너지",폐기물 (toe),폐가스,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (toe),산업폐기물,308446,-,7601,13684,19121,1992,13238,31985,817,91639,-,47015,12618,20363,12163,17183,17940,1088,308638,-,7277,13466,18598,1400,13281,35689,787,100334,-,32463,12857,17031,15336,18546,20510,1063,306647,-,5709,12315,15964,1387,11948,33352,767,93701,-,36387,15528,14133,19974,20421,24002,1059
"① 재생에너지",폐기물 (toe),생활폐기물,410219,69519,13131,7319,26929,-,6197,15593,1790,127651,9147,17637,32250,19787,7144,12368,31433,12323,420039,76416,13200,7268,26091,-,4372,19427,1880,131901,8114,17862,26570,21215,7059,12935,31680,14049,408095,69477,13378,21580,29174,-,9199,18893,719,121220,3471,21036,24928,21386,7103,9754,27618,9159
"① 재생에너지",폐기물 (toe),시멘트킬른보조연료,234334,-,-,-,-,-,-,-,-,-,165815,65721,-,-,2798,-,-,-,272998,-,-,-,-,-,-,-,-,-,202967,69622,-,-,409,-,-,-,318115,-,-,-,-,-,-,-,-,-,235691,82424,-,-,-,-,-,-
"① 재생에너지",폐기물 (toe),SRF,212993,-,18242,790,3020,-,8928,38256,4940,22238,4594,22531,1199,12495,62630,5523,7607,-,196517,-,16379,720,2506,-,8788,40710,5673,21570,4265,29551,426,12074,43046,5032,5778,-,224565,-,13865,-,4585,-,12157,51379,3929,36411,2376,35119,92,11758,42930,2954,7011,-
"① 재생에너지",폐기물 (toe),정제연료유,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"② 신에너지",연료전지 (toe),소계,755887,72749,39280,1710,203105,739,7141,3002,8465,262648,10479,141,97628,1850,35819,6890,4198,44,1023132,93510,62548,3177,319009,1039,8453,11857,9338,309670,31596,11721,96557,2409,48881,7774,5503,89,1153529,71483,69911,3238,287034,13906,18427,46201,8605,329301,58819,43942,104136,23713,62277,6308,6142,88
"② 신에너지",연료전지 (toe),사업용,742434,71364,39026,1172,202746,-,1661,2502,8448,260703,10417,-,97265,1706,35517,5931,3977,-,1006930,91857,62012,2527,318330,58,2691,11532,9321,307266,31456,11528,96104,2121,48384,6741,5001,-,1135223,69633,69163,2459,286013,12849,12696,45882,8589,326451,58621,43712,103583,23311,61707,5147,5408,-
"② 신에너지",연료전지 (toe),자가용,13453,1385,254,538,360,739,5480,500,16,1945,62,141,363,144,302,958,222,44,16202,1653,536,650,679,981,5762,325,16,2404,141,193,453,288,497,1033,502,89,18307,1851,748,779,1021,1057,5731,319,16,2850,198,230,553,403,569,1161,734,88
"② 신에너지",IGCC (toe),소계,506381,-,-,-,-,-,-,-,-,-,-,-,506381,-,-,-,-,-,466631,-,-,-,-,-,-,-,-,-,-,-,466631,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"② 신에너지",IGCC (toe),사업용,506381,-,-,-,-,-,-,-,-,-,-,-,506381,-,-,-,-,-,466631,-,-,-,-,-,-,-,-,-,-,-,466631,-,-,-,-,-,418508,-,-,-,-,-,-,-,-,-,-,-,418508,-,-,-,-,-
