"지역별(1)",2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
"지역별(1)",총계,산업,건물,발전,계(발전제외),총계,산업,건물,발전,계(발전제외),총계,산업,건물,수송,발전,계(발전제외),총계,산업,건물,수송,발전,계(발전제외),총계,산업,건물,수송,발전,계(발전제외),총계,산업,건물,수송,발전,계(발전제외),총계,산업,건물,수송,발전,계(발전제외),총계,산업,건물,수송,발전,계(발전제외),총계,산업,건물,수송,발전,계(발전제외),총계,산업,건물,수송,발전,계(발전제외)
"계",151037242,80564808,2306560,68165874,82871368,153577930,87354493,2323715,63899722,89678208,156068140,89990319,2491878,3241970,60343974,95724167,161781939,92656192,2718273,3564704,62842770,98939169,163279779,97572773,2764699,3491754,59450553,103829226,169560784,102717626,2920169,3353698,60569291,108991493,168155187,104014475,2896771,3337950,57905991,110249196,154943952,98743839,2823334,2777892,50598888,104345064,162357441,104233378,2947581,2840652,52335829,110021612,159111027,102690999,3179263,2879226,50361539,108749488
"서울",1874442,511550,1020009,342883,1531559,1550804,454947,981610,X,X,2618653,401735,1043136,1106552,X,X,2662272,336178,1100127,1114554,X,2550859,2569371,335492,1089089,1069391,X,2493972,X,368815,1116202,1164137,X,2649154,X,330444,1095943,1171170,X,2597558,X,348806,1047532,941563,X,2337902,X,377290,1083970,1021857,X,2483116,X,416623,1149622,1040780,X,2607025
"부산",3409887,765756,142504,2501628,908259,2993116,800815,147690,X,X,2296291,732144,155880,341589,1066678,1229613,2676683,756390,188650,455798,1275844,1400838,2410981,811740,181131,446846,971264,1439717,2855285,830322,184566,381950,1458448,1396837,2439942,772670,171133,391475,1104665,1335277,2435787,736492,188083,333798,1177414,1258374,X,738556,185605,340142,X,1264303,X,733396,192351,344440,X,1270187
"대구",757691,698552,59139,-,757691,795881,735130,60752,-,795881,1272745,1097844,65552,109350,-,1272745,1331104,1142533,72163,116408,-,1331104,1261012,1057100,80761,123151,-,1261012,1253583,1056182,82659,114742,-,1253583,1254363,1065734,80638,107990,-,1254363,1099122,952094,76886,70141,-,1099122,1211986,1056328,77871,77787,-,1211986,1165227,1001669,84660,78898,-,1165227
"인천",18072346,4733175,92023,13247147,4825199,17921528,4710886,107893,13102749,4818779,16809442,4203764,118428,111547,12375703,4433739,16872197,4189498,133648,136914,12412138,4460059,15515030,3990587,142337,132990,11249115,4265914,15735772,4355896,165986,136033,11077856,4657915,14882143,4582536,157974,144630,9997003,4885140,14231935,4708752,146973,121324,9254886,4977049,14654026,4653756,153777,119384,9727109,4926917,13359509,4174058,166295,126810,8892346,4467163
"광주",414002,374537,39464,-,414002,387182,342292,44890,-,387182,446765,352994,44634,49136,-,446765,434046,340023,45986,48036,-,434046,436038,344712,44746,46579,-,436038,424060,334776,46038,43245,-,424060,395984,320334,43408,32242,-,395984,386334,317597,40917,27820,-,386334,410061,336299,43654,30109,-,410061,409018,335596,47187,26235,-,409018
"대전",588745,414813,173933,-,588745,578692,404821,173871,-,578692,964900,389129,175366,400405,-,964900,986728,401348,186566,398814,-,986728,1005900,408571,187582,409748,-,1005900,978717,405152,193755,379810,-,978717,944966,385688,189769,369509,-,944966,905867,380113,190112,335642,-,905867,930373,396631,200231,333511,-,930373,915067,380548,213930,320589,-,915067
"울산",12881205,9768434,16942,3095829,9785376,11800069,9838569,18705,X,X,11633572,9897835,19406,47954,X,X,12524581,10176829,20391,48144,X,10245364,12085644,10505312,23514,40781,1516037,10569607,13654384,11693667,24216,37657,1898844,11755540,13655002,12220058,23790,41239,1369915,12285087,12871197,11452081,25187,43543,1350386,11520810,X,11609861,22700,43821,X,11676382,X,11163931,22598,47232,X,11233761
"세종",259252,142364,1874,115014,144238,654615,150065,X,X,X,667899,152759,9016,-,X,X,669640,151144,10757,-,X,161901,707323,149940,10334,-,X,160274,X,154448,9442,-,X,163891,X,166535,10972,-,X,177507,X,167949,12032,-,X,179980,X,175291,14524,-,X,189815,X,189854,14857,-,X,204710
"경기",11441370,7962127,416485,3062758,8378612,11629215,9141514,449311,2038389,9590826,15321567,11831621,488677,600285,2400985,12920582,16579835,12610302,542125,608811,2818597,13761237,17398695,14639928,578934,602492,1577341,15821354,19710579,16621354,626877,592194,1870154,17840425,20231032,17095708,656203,570093,1909028,18322004,19411964,16724962,668890,475177,1542935,17869029,21441502,18215915,712522,467647,2045419,19396084,22641088,19118946,797934,450932,2273277,20367811
"강원",4244324,2679430,98478,1466417,2777907,4720757,2725130,102205,1893422,2827335,4327134,2710930,104424,36199,1475581,2851553,4899104,2935737,114209,48601,1800558,3098547,7590760,4130954,115054,60052,3284699,4306061,9699068,5030380,129880,57721,4481087,5217981,9050792,4780198,130300,52830,4087464,4963328,7667671,4522113,110581,32544,3002434,4665238,8057999,4390806,111354,26574,3529265,4528733,9108374,4951493,126054,38128,3992700,5115674
"충북",2634862,2605459,29403,-,2634862,2637086,2603106,33980,-,2637086,2859920,2767809,43919,48192,-,2859920,3058978,2954434,49194,55350,-,3058978,3030615,2920690,54643,55283,-,3030615,3024003,2911602,55001,57400,-,3024003,3164568,3042463,52458,69648,-,3164568,3276264,3175934,48919,51411,-,3276264,3333840,3231346,52511,49983,-,3333840,3359185,3255048,54817,49320,-,3359185
"충남",39662689,13414407,52632,26195650,13467039,41881226,16796338,49317,25035571,16845655,40335652,16125777,47495,25259,24137120,16198532,40701915,16556650,56663,40912,24047690,16654225,42335153,17615444,51532,43167,24625011,17710142,41983514,17987200,56472,45433,23894409,18089105,43358334,18389085,50554,46306,24872389,18485945,39285683,16834721,43198,35013,22372751,16912932,38891705,16637546,46833,33138,22174188,16717517,38337059,17086308,62116,33554,21155082,17181977
"전북",3224579,2281109,36626,906844,2317735,3354212,2516218,35742,X,X,3204958,2590123,39772,76485,X,X,4083519,3440926,38881,99607,X,3579415,3708974,3339371,40074,103207,X,3482652,X,3183620,39893,52692,X,3276205,X,3078530,40739,50466,X,3169735,3320002,2871501,38365,46821,363314,2956687,X,3098024,38136,39378,X,3175537,X,2855605,41228,40000,X,2936834
"전남",23214821,21256008,13161,1945652,21269169,24472807,22610293,X,1853327,22619480,25049474,23249907,13115,56416,1730036,23319438,25705296,23011659,13782,73308,2606546,23098750,26274480,23878885,17531,82782,2295283,23979197,26490564,24263435,19448,81698,2125983,24364581,26556767,24214505,21916,76514,2243831,24312936,24500001,22481880,24146,74994,1918982,22581019,26149345,24145695,23250,81320,1899081,24250264,23626333,22461725,22879,97027,1044702,22581631
"경북",11453904,11156098,49319,248487,11205417,12367713,11802395,39443,525875,11841838,12316209,11704788,50349,62396,498676,11817533,12586222,11857803,61981,87454,578984,12007238,12156146,11638519,62656,81350,373621,11782525,12538749,11853913,63804,87535,533496,12005253,12540730,11930608,61516,89057,459548,12081181,12102220,11476949,54722,71605,498944,11603276,12123634,11576772,56378,71223,419261,11704373,10673381,10091366,58929,67147,455940,10217442
"경남",16215053,1791700,47023,14376330,1838723,15257463,1712670,44611,13500181,1757282,15352034,1768756,54607,83777,13444893,1907141,15410431,1783935,63891,103645,13458960,1951470,14237617,1792766,65054,100186,12279611,1958006,13572539,1654082,79997,100828,11737632,1834907,12155022,1617237,83087,96090,10358608,1796414,8971442,1575680,82444,83915,7229404,1742039,10960519,3575757,88263,76859,7219639,3740879,12278005,4456729,86191,83713,7651372,4626633
"제주",688070,9289,17547,661234,26835,575564,9304,18207,548054,27510,590925,12405,18101,86426,473993,116932,599390,10802,19259,128349,440979,158411,556041,12765,19726,93749,429801,126240,426181,12782,25932,20623,366844,59337,444602,22141,26369,28692,367400,77202,413364,16215,24347,32581,340222,73142,461836,17507,36003,27921,380405,81431,630321,18105,37618,34420,540178,90143
