"에너지원별(1)",에너지원별(2),에너지원별(3),2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"에너지원별(1)",에너지원별(2),에너지원별(3),전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"신·재생에너지 합계①+② (toe)",소계,소계,8850739,232626,107135,158269,292990,37050,47917,855989,1243993,853413,648513,872976,380717,1613010,1063652,376869,65627,9879207,238239,116954,141952,291540,58771,48475,1126081,36676,1370155,1064857,667341,936507,539372,1456792,1258441,446439,80616,11537365,293656,139791,193380,430139,74518,57965,711388,41022,1448818,1012540,526171,1510984,536553,1177210,2385732,781166,216332,13292989,335139,145572,182520,628330,67589,66705,698215,61940,1402763,1105800,441035,1579335,555104,3059991,1888628,706898,367424,14178408,316806,135772,181857,469248,70215,86763,1176787,84701,1514251,902963,568359,1840831,658316,3034387,2043004,667176,426972,16448386,350881,237439,179157,387826,73199,113837,1343421,65440,1634364,1237810,806869,2231254,1158329,3229557,2345138,679023,374842,18054339,388944,266102,193941,416566,83949,135462,1034251,77399,1856951,1400396,873924,2511407,1551001,3465666,2545246,782536,470597,16524882,361228,251656,179723,481843,88087,131164,828938,71498,1728157,1304389,736972,2190477,1689410,2852248,2273523,689532,666038,12378065,303099,189363,149874,489348,97865,90625,493628,73803,1554853,1306481,720895,1764287,1760693,1225665,925025,651123,581437,14000317,325737,213516,184664,595688,99072,91966,501111,84544,1664252,1558778,697775,1985783,2116947,1465050,1080720,710771,623944,15706206,317023,236408,179814,586824,128439,114634,480459,90157,1782795,1730425,851656,2163189,2539588,1754851,1288507,782019,679417
"신·재생에너지 합계①+② (toe)",① 재생에너지 합,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11337996,281706,131785,186584,423151,73878,57915,706186,41022,1321542,1012485,526165,1507878,533261,1162313,2374640,781152,216332,13061531,298174,140254,172794,609805,67066,66658,693351,61940,1274755,1105757,441031,1573341,552573,3044508,1885217,706884,367424,13860689,278669,129365,170946,445399,69668,86698,1172800,84701,1389488,902920,568332,1759599,657908,3009490,2040608,667125,426972,15861222,281192,198505,170258,362574,72653,113751,1338989,65440,1501523,1237768,806807,1951392,1158140,3206710,2341744,678934,374842,17315508,320512,210399,185033,372292,83402,135367,1030664,77396,1706019,1400313,873852,2134555,1550141,3439646,2542916,782402,470597,15813116,301380,198790,172535,361912,87503,125325,826398,71487,1559116,1304200,736875,1939644,1688349,2813816,2270712,689037,666038,11115797,230350,150083,148164,286243,97126,83484,490626,65338,1292205,1296002,720753,1160278,1758844,1189846,918136,646925,581394,12510554,232226,150968,181487,276678,98033,83514,489254,75206,1354582,1527182,686054,1422595,2114538,1416169,1072946,705268,623855,14134169,245539,166498,176575,299790,114533,96207,434258,81552,1453494,1671606,807715,1640544,2515875,1692575,1282200,775878,679329
"신·재생에너지 합계①+② (toe)",② 신에너지 합,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,199369,11949,8006,6796,6988,639,50,5202,-,127277,56,6,3106,3292,14897,11092,13,-,231458,36965,5318,9726,18525,522,47,4864,-,128009,44,5,5995,2531,15483,3411,14,-,317720,38137,6406,10911,23850,547,65,3987,-,124763,43,27,81232,409,24897,2396,51,-,587164,69689,38933,8899,25253,547,86,4432,-,132842,42,62,279861,189,22847,3394,89,-,738831,68432,55703,8908,44274,547,95,3587,3,150932,83,72,376852,860,26019,2330,134,-,711766,59848,52866,7188,119931,584,5839,2540,11,169041,189,96,250833,1062,38432,2811,494,-,1262268,72749,39280,1710,203105,739,7141,3002,8465,262648,10479,141,604009,1850,35819,6890,4198,44,1489762,93510,62548,3177,319009,1039,8453,11857,9338,309670,31596,11721,563188,2409,48881,7774,5503,89,1572037,71483,69911,3238,287034,13906,18427,46201,8605,329301,58819,43942,522644,23713,62277,6308,6142,88
"신·재생에너지 지역별 공급비중 (%)",소계,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,2.55,1.21,1.68,3.73,0.65,0.50,6.17,0.36,12.56,8.78,4.56,13.10,4.65,10.20,20.68,6.77,1.88,100.00,2.52,1.10,1.37,4.73,0.51,0.50,5.25,0.47,10.55,8.32,3.32,11.88,4.18,23.02,14.21,5.32,2.76,100.00,2.23,0.96,1.28,3.31,0.50,0.61,8.30,0.60,10.68,6.37,4.01,12.98,4.64,21.40,14.41,4.71,3.01,100.00,2.13,1.44,1.09,2.36,0.45,0.69,8.17,0.40,9.94,7.53,4.91,13.57,7.04,19.63,14.26,4.13,2.28,100.00,2.15,1.47,1.07,2.31,0.46,0.75,5.73,0.43,10.29,7.76,4.84,13.91,8.59,19.20,14.10,4.33,2.61,100.00,2.19,1.52,1.09,2.92,0.53,0.79,5.02,0.43,10.46,7.89,4.46,13.26,10.22,17.26,13.76,4.17,4.03,100.00,2.45,1.53,1.21,3.95,0.79,0.73,3.99,0.60,12.56,10.55,5.82,14.25,14.22,9.90,7.47,5.26,4.70,100.00,2.33,1.53,1.32,4.25,0.71,0.66,3.58,0.60,11.89,11.13,4.98,14.18,15.12,10.46,7.72,5.08,4.46,100.00,2.02,1.51,1.14,3.74,0.82,0.73,3.06,0.57,11.35,11.02,5.42,13.77,16.17,11.17,8.20,4.98,4.33
"① 재생에너지",태양열 (toe),소계,26259,1109,1050,1427,854,706,816,372,3559,3185,1151,2553,1206,1994,2554,3268,456,27812,1076,1068,1395,844,751,951,436,12,3632,3406,1222,2812,1254,2195,2786,3533,440,28485,1043,1047,1324,832,764,970,444,24,3490,3419,1297,2873,1278,2361,3118,3755,446,28469,976,1026,1262,806,734,936,437,103,3260,3358,1272,2755,1287,2489,3426,3880,462,28495,920,985,1188,765,711,892,431,120,3207,3322,1244,2674,1309,2688,3603,3976,461,28121,836,935,1106,724,686,827,413,132,3089,3247,1242,2601,1309,2777,3757,4002,437,27395,775,883,1022,696,654,768,385,127,2887,3146,1194,2513,1300,2803,3881,3963,401,26688,695,813,925,665,607,708,357,122,2648,3005,1193,2415,1281,2913,4011,3962,370,26048,621,732,837,616,568,616,331,116,2433,2848,1290,2288,1248,3074,4163,3931,336,25568,561,686,738,577,540,570,307,109,2305,2684,1345,2132,1215,3296,4298,3899,306,25035,503,617,648,543,520,528,277,102,2208,2492,1289,2079,1216,3532,4328,3874,279
"① 재생에너지",태양광 (toe),소계,237543,5804,2678,2481,3320,3999,1774,1678,12125,8450,9777,16741,37672,63291,42905,21776,3071,344451,7011,11785,4419,4879,5583,2755,2159,97,17731,10824,13801,22824,58677,92308,51841,32957,4799,547430,11813,14739,7634,8399,8566,4920,3139,1682,34422,29326,23034,39385,95160,141931,62409,50489,10383,849379,16676,19550,10829,11229,18392,6317,4861,4841,50654,40410,36518,78230,153523,215645,90121,71586,19996,1092832,19355,20937,13413,12865,21297,7496,5403,7272,64728,51642,50619,122380,198152,268424,120053,84722,24074,1516349,23664,25456,16669,18643,28783,9531,8602,8611,87323,82657,78129,177876,257182,359811,179136,117552,36724,2193980,36471,35386,24076,27859,40764,14656,16609,13078,165349,151306,120657,256274,352618,449997,263064,176512,49303,3062023,45303,42827,31673,35117,54252,17902,21015,15148,237662,227157,174204,372658,501343,593972,367811,245360,78619,4165154,51584,49938,37493,42122,63325,20566,27380,18649,314446,302800,241466,531816,694095,850720,497421,315560,105775,5317227,55298,58882,44631,49014,70029,23997,32384,20576,384178,393308,304063,663622,905410,1112350,659785,394225,145474,6609387,65697,71015,55601,57128,84614,30136,38903,24538,464713,468677,369737,792320,1183907,1364272,875924,492688,169517
"① 재생에너지",태양광 (toe),사업용,179899,1209,870,406,1118,1591,273,291,3272,5795,4739,12707,34336,58301,39052,14197,1742,274755,1990,9856,1990,2233,2909,1059,648,11,7767,7596,7536,18039,51768,86493,47375,24510,2975,449975,4245,12114,4292,4276,5084,2166,918,1274,20213,24291,13652,32408,89214,133065,56121,39089,7553,731025,6357,16282,6995,6176,14564,2905,2036,3594,33150,34317,25089,70381,146480,205263,82384,58396,16658,947609,6839,16600,8558,6879,17004,3558,2417,5486,42556,43907,36268,112457,189775,256324,110368,68740,19872,1325013,7488,19371,10188,10474,23471,4407,4517,5775,57452,72201,59428,164604,246221,344456,166324,97354,31283,1750684,8171,21064,12509,13949,30256,5728,7827,8234,93729,125213,84883,222645,320392,406604,227152,124118,38210,2504790,8347,24885,17504,17443,41662,6798,10171,9365,146449,194068,129008,329695,460649,540329,323576,180834,64006,3504379,9283,29128,21278,21107,48889,7852,15002,12063,208241,262761,186563,478113,643274,786638,443730,242378,88079,4567632,10142,35733,25967,24597,53656,9049,19151,13334,265796,346731,242721,600768,846440,1039691,596926,311712,125217,5683463,11102,43416,32857,26773,64017,11176,23094,15598,317901,411415,296031,712666,1110016,1276247,795013,391363,144777
"① 재생에너지",태양광 (toe),자가용,57644,4595,1808,2075,2202,2408,1501,1387,8853,2655,5038,4034,3336,4990,3853,7579,1329,69696,5021,1929,2429,2647,2674,1696,1510,86,9964,3228,6265,4785,6908,5815,4466,8446,1825,97455,7568,2625,3342,4123,3481,2753,2220,408,14209,5035,9382,6977,5946,8866,6287,11400,2831,118354,10319,3269,3834,5053,3828,3413,2825,1247,17504,6093,11429,7849,7043,10382,7737,13190,3338,145223,12516,4337,4855,5986,4293,3938,2986,1786,22172,7735,14351,9924,8377,12100,9685,15982,4202,191336,16176,6084,6481,8169,5313,5124,4085,2836,29871,10456,18701,13272,10962,15355,12812,20198,5441,443296,28300,14322,11567,13910,10508,8927,8783,4844,71620,26093,35774,33629,32226,43393,35912,52394,11093,557234,36956,17942,14169,17674,12589,11104,10844,5783,91213,33088,45196,42963,40694,53643,44235,64526,14613,660775,42301,20810,16215,21015,14437,12714,12378,6587,106205,40038,54903,53703,50821,64082,53691,73182,17696,749595,45156,23149,18664,24417,16373,14948,13233,7242,118383,46578,61342,62854,58970,72658,62859,82514,20256,925924,54595,27599,22744,30354,20598,18960,15809,8940,146812,57262,73706,79653,73890,88024,80912,101325,24740
"① 재생에너지",풍력 (toe),소계,192674,41,89,3,6674,-,81,762,1299,74797,3,5,2494,1785,60820,1565,42256,242354,41,102,3,9185,0,81,558,-,1186,98752,3,5,2851,5534,70336,1557,52158,241847,41,112,4,10101,0,81,558,-,1127,83403,3,5,2412,24802,61629,5411,52157,283455,43,107,6,10946,0,86,444,-,1206,83855,4,6,3460,33870,69792,6108,73522,355340,43,116,6,10281,0,86,551,-,1135,93428,3,218,4325,49980,84780,11984,98405,462162,46,87,6,11042,0,92,489,-,1207,136917,4,634,4928,65397,109789,16905,114619,525188,48,111,6,9150,0,95,528,-,1097,147306,4,645,4401,75172,155603,16707,114315,570836,44,74,6,9340,0,86,487,-,1032,146044,6,570,10803,104170,164884,16126,117163,671107,47,56,6,11255,0,91,323,-,1202,166671,6,640,27948,122787,201093,15828,123154,677507,45,15,6,8415,1,87,372,-,998,201821,11,437,31080,111982,194906,14551,112780,717864,46,16,6,8263,2,88,54,-,959,203379,17,456,34440,124776,194644,28436,122284
"① 재생에너지",풍력 (toe),사업용,191682,-,85,-,6673,-,-,759,1289,74441,-,-,2490,1568,60663,1537,42177,241289,-,97,-,9185,-,-,556,-,1176,98397,-,-,2846,5255,70179,1529,52070,240223,-,103,-,10100,-,-,556,-,1116,83047,-,-,2406,24307,61472,5081,52035,281026,-,85,-,10928,-,-,441,-,1195,83467,-,-,3452,33217,69624,5747,72870,352953,-,94,-,10263,-,-,548,-,1123,93041,-,210,4317,49319,84612,11633,97792,459848,-,63,-,11010,-,-,486,-,1195,136496,-,623,4920,64678,109609,16529,114238,522772,-,86,-,9105,-,-,524,-,1084,146853,-,633,4393,74430,155418,16318,113929,568596,-,51,-,9299,-,-,485,-,1019,145604,-,557,10797,103492,164715,15771,116806,668708,-,31,-,11212,-,-,320,-,1187,166188,-,625,27939,122072,200912,15450,122772,675174,-,1,-,8365,-,-,368,-,982,201339,-,421,31069,111298,194728,14189,112414,715435,-,1,-,8203,-,-,49,-,941,202876,-,430,34427,124071,194460,28067,121908
"① 재생에너지",풍력 (toe),자가용,992,41,4,3,1,0,81,3,10,356,3,5,4,217,157,28,79,1065,41,4,3,1,0,81,3,-,10,356,3,5,5,279,157,28,89,1624,41,9,4,1,0,81,3,-,10,356,3,5,6,496,157,330,122,2429,43,22,6,18,0,86,3,-,11,388,4,6,8,653,168,361,652,2387,43,22,6,18,0,86,3,-,11,387,3,8,8,661,167,351,613,2313,46,24,6,31,0,92,3,-,12,421,4,11,8,719,179,375,381,2416,48,26,6,45,0,95,3,-,12,453,4,12,9,743,185,389,387,2241,44,23,6,41,0,86,3,-,13,441,6,12,6,678,169,355,357,2398,47,25,6,43,0,91,3,-,15,483,6,15,9,715,181,377,381,2332,45,14,6,50,1,87,4,-,16,482,11,16,11,684,178,362,366,2429,46,15,6,60,2,88,4,-,18,502,17,26,13,705,183,369,376
"① 재생에너지",수력 (toe),소계,814933,-,6,1853,5245,427,-,415,168382,180868,218828,18954,73582,26014,55475,64787,100,892232,-,72,3686,5671,717,-,347,-,211977,230977,211844,22701,44257,27086,56828,75975,94,581186,240,41,3631,7432,932,126,103,2135,111741,129282,124977,18874,50330,28113,47874,55065,290,453787,301,13,3058,8642,1280,127,376,2112,78703,85373,75784,20469,48396,23652,44877,60378,246,603244,315,23,3357,9172,1783,78,193,1697,119945,141238,131899,17269,40469,27520,48104,59754,428,600690,258,13,1146,9619,1937,127,199,1391,117182,174668,140855,16908,36695,14266,45379,39508,541,718787,236,19,859,7500,1689,78,187,0,150778,205458,183642,16355,46688,16607,49708,38482,500,594539,373,23,799,8515,1513,56,282,-,120716,150869,133851,16364,49373,20114,50635,40442,614,826344,237,21,2759,8431,1660,55,310,-,138452,226264,215136,13122,60872,24308,67950,66040,728,651227,132,9,3092,8765,1753,59,244,-,134900,151904,155715,12205,50892,18346,62247,50280,685,755117,81,55,3188,6481,1335,28,93,-,152857,249064,175602,11157,45345,11936,50805,46485,606
"① 재생에너지",수력 (toe),사업용,814537,-,-,1853,5245,427,-,415,168088,180868,218828,18939,73582,26014,55475,64787,18,891015,-,2,3686,5294,717,-,347,-,211587,230622,211844,22689,44257,27086,56828,75974,83,579882,240,5,3631,7218,932,-,103,2135,111299,128932,124973,18850,50330,28113,47874,55064,182,452157,301,6,3058,8510,1280,-,376,2112,78385,85084,75780,20440,48396,23652,44241,60377,159,602578,315,8,3357,9042,1783,-,193,1697,119602,141238,131895,17258,40469,27520,48104,59754,342,599897,258,3,1146,9421,1937,-,199,1391,116822,174668,140852,16896,36695,14266,45379,39508,456,718140,236,6,859,7370,1689,-,187,0,150460,205458,183641,16334,46688,16607,49708,38482,415,593974,373,7,799,8448,1513,-,282,-,120374,150869,133849,16353,49373,20114,50635,40442,544,825838,237,8,2759,8423,1660,-,310,-,138103,226264,215136,13099,60872,24308,67950,66040,670,650633,132,7,3092,8603,1753,-,244,-,134593,151904,155715,12190,50892,18346,62247,50280,635,754249,81,7,3188,6057,1335,-,93,-,152535,249064,175602,11154,45345,11936,50805,46485,562
"① 재생에너지",수력 (toe),자가용,396,-,6,-,-,-,-,-,294,-,-,15,-,-,-,-,82,1217,-,70,-,377,-,-,-,-,390,355,-,12,-,-,-,1,11,1304,-,35,-,214,-,126,-,-,442,350,4,23,-,-,-,1,108,1630,-,7,-,132,-,127,-,-,318,289,4,29,-,-,636,1,87,666,-,15,-,130,-,78,-,-,343,-,4,11,-,-,-,-,85,793,-,9,-,198,-,127,-,-,360,-,3,12,-,-,-,-,85,647,-,13,-,131,-,78,-,-,318,-,1,21,-,-,-,-,85,565,-,16,-,66,-,56,-,-,343,-,2,12,-,-,-,-,70,506,-,13,-,8,-,55,-,-,349,-,-,23,-,-,-,-,58,594,-,1,-,161,-,59,-,-,307,-,-,15,-,-,-,-,50,869,-,48,-,424,-,28,-,-,322,-,-,3,-,-,-,-,44
"① 재생에너지",해양 (toe),소계,98310,-,-,-,-,-,-,-,98310,-,-,-,-,-,-,-,-,102077,-,-,-,-,-,-,-,-,102077,-,-,-,-,-,-,-,-,103848,-,-,-,-,-,-,-,-,103848,-,-,-,-,-,-,-,-,104731,-,-,-,-,-,-,-,-,104731,-,-,-,-,-,-,-,-,104562,-,-,-,-,-,-,-,-,104562,-,-,-,-,-,-,-,-,104256,-,-,-,-,-,-,-,-,104256,-,-,-,-,-,-,-,-,103380,-,-,-,-,-,-,-,-,103380,-,-,-,-,-,-,-,-,101030,-,-,-,-,-,-,-,-,101030,-,-,-,-,-,-,-,0,97397,-,-,-,-,-,-,-,-,97396,-,-,-,-,-,-,-,1,96911,-,-,-,-,-,-,-,-,96907,-,-,-,-,3,-,-,1,90279,-,-,-,-,-,-,-,-,90278,-,-,-,-,1,-,-,0
"① 재생에너지",지열 (toe),소계,65277,5132,974,1803,1588,1914,1448,662,16071,5877,2980,5576,5830,6000,3700,5129,594,86959,6191,1140,2336,2293,2252,1774,848,249,21470,7906,3825,8019,8318,7977,4738,6487,1134,108472,7250,1263,3244,3180,2611,2103,1583,1098,25951,9410,4861,9907,11438,9432,5862,7921,1358,135046,8790,1495,4564,3892,3015,2537,2661,5615,29830,11041,5634,10008,15077,11547,8100,9710,1531,162047,9906,1886,5470,4429,3267,3229,3265,8209,34841,13629,7164,11971,17949,13300,10301,11590,1642,183922,11270,2328,5927,5544,3403,3857,3460,10305,39759,15605,8777,14133,19041,14542,11815,12515,1642,205464,13334,2674,6267,6784,3459,4353,3730,12874,44029,17057,10046,16549,19398,15556,14290,13358,1706,224698,15002,2896,6875,7788,3593,4909,4023,14024,48634,18242,11158,18995,20266,15950,16192,14380,1771,240933,16451,2980,7441,8483,3753,5281,4196,14910,52494,19691,12166,20659,21015,17203,17327,15113,1771,255590,17900,3104,8395,8666,3835,5807,4414,15683,55341,21462,13116,21792,21717,18687,18454,15448,1771,279650,20070,3610,9877,9912,3914,7025,4839,16258,60038,24057,14148,24069,23817,19374,20559,16312,1771
"① 재생에너지",수열 (toe),소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4791,-,-,-,12,-,-,-,-,-,106,-,129,83,2319,67,928,1146,5989,-,-,-,12,-,-,-,-,-,123,-,291,99,3267,79,972,1146,7941,-,23,-,95,-,-,-,-,-,135,-,713,253,4143,102,1292,1184,14725,-,23,-,95,-,-,-,-,-,638,-,1382,533,7819,140,2392,1702,21398,-,23,-,130,-,-,-,-,8,643,-,1690,756,11954,572,3821,1800,23647,-,46,-,157,-,-,-,-,8,661,5,1814,804,13564,587,4159,1844,24756,18,46,-,157,-,-,-,-,19,684,5,1909,841,14078,661,4412,1927,26543,18,73,-,157,-,-,17,-,97,709,15,1979,904,15175,739,4706,1955
"① 재생에너지",바이오 (toe),소계,1334724,36658,15712,80617,156465,5722,5092,469740,172298,23118,23799,41773,103456,102877,54317,38896,4185,1558492,46236,18240,55051,158877,14437,8099,506379,1453,123015,46803,26264,79575,139881,133549,55469,141042,4123,2821995,98477,35852,104307,300434,30949,23869,362643,12055,398117,140765,36766,286438,214750,90367,48421,501631,136154,2765657,94097,41199,90261,440688,21341,20824,292787,3211,295169,159357,49058,366255,152083,98746,68560,319036,252987,2765453,79517,41391,79519,264265,20710,26744,302205,6547,328104,121410,48326,456444,167233,179621,55552,303223,284642,3598782,77003,42701,81695,166852,29256,35751,357375,23832,344244,393537,136060,542050,643178,109595,140595,272057,203002,4442376,97562,61263,89634,187703,28716,38247,400517,27693,434293,418248,143554,574765,940392,237545,159312,317709,285224,4162427,96475,60785,78213,195001,25767,29072,350446,21935,416837,326825,66575,550667,973153,200844,115780,209381,444671,3899174,91892,57336,77835,166108,25826,28511,372251,24117,444247,397513,97780,543873,900217,73455,94521,169316,334375,4263576,81856,51370,103172,153890,20475,26553,355707,30497,426130,539973,62300,680646,1053063,71578,96082,164483,345800,4372872,89647,58160,73361,167582,22761,25098,286450,35240,431014,481691,71941,767937,1178969,83502,102072,124747,372699
