"용도별(1)",용도별(2),2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"용도별(1)",용도별(2),계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성
"합계",소계,466592949,47234102,20664842,14954958,22651946,8130493,9160107,29362724,578610,100291952,15904382,21361911,44492412,21462325,28484719,44799525,33014947,3864639,178351,474848580,46555105,20364705,15080052,22673441,8274074,9225140,29992969,2345527,102227067,15794741,21665043,45466812,21708655,30302068,45444247,33530619,4094900,103415,477591701,45018862,19980898,14858786,22578048,8197276,9102524,30115124,2437032,102180707,15778145,22179261,47294961,22297413,31722944,46016364,33435157,4220090,178108,483654816,45381484,20002307,14947708,23211766,8333873,9182737,30286140,2641139,105048003,16206618,22949032,47286062,22086860,32637829,44956836,33876325,4429553,190544,497038904,46493234,20467093,15268114,23875857,8558369,9379633,32095217,2801866,109403901,16498768,24008863,48453931,22733495,33096902,44647503,34497477,4738201,20478,507746386,46298158,21007358,15386372,24515313,8683649,9423804,31609850,2918758,114847859,16552836,24843477,50180209,22799647,33562076,45455611,34647864,5013545,526149160,47810210,21216605,15675749,24921926,8773811,9648827,33748169,3087693,122695954,16845836,26239895,52012705,22961959,34118388,45958814,35158610,5272604,1405,520498738,47167205,20802410,15265584,24280690,8603297,9415699,34138999,3226179,123022307,16368275,26732303,52644854,22280693,32385388,44314767,34472017,5374285,3786,509269715,45787926,20503969,14758568,23638583,8531108,9405221,33157834,3393223,124688964,16120067,26901894,50422732,20538912,30973975,41001627,34069974,5373288,1850,533430811,47295807,21067833,15443949,24901194,8973447,9748621,33593123,4295363,133445948,16808006,28402063,48801626,21486861,33486886,44258297,35734059,5687730,-,547932742,48788677,21493648,16039260,25506864,9116871,10016877,32919181,3182079,140531012,17325520,29412227,50259638,21838474,34665105,44601033,36190920,6045356,-
"가정용",소계,63536151,13401442,4442765,3050594,3594327,1760440,1846191,1415434,35895,15445318,1876292,1898041,2518449,2268132,2187655,3133988,4026934,634238,16,63970473,13319847,4437009,3076642,3643784,1850640,1856172,1445229,157398,15554163,1885497,1915496,2448583,2282596,2206805,3177243,4055225,658131,13,62675313,12892129,4309603,2973764,3596277,1841416,1826425,1419552,192589,15291673,1868276,1891278,2423744,2236213,2163133,3118273,3983189,647664,115,63794045,12964825,4352290,3024175,3662376,1880747,1849215,1450241,272724,15607128,1888434,1940308,2509792,2276416,2205174,3176918,4057544,675632,106,66173065,13311577,4472262,3143661,3819581,1948144,1899110,1488489,333148,16311036,1928362,2011175,2629227,2340425,2281952,3293587,4226226,735092,11,66517356,13131172,4473510,3151904,3856852,1954876,1872890,1487143,384903,16587710,1940933,2027281,2691823,2326183,2284124,3302463,4260988,782601,70687230,13766796,4660700,3314918,4112199,2056435,1970225,1552259,470529,18016468,2060399,2184846,2897959,2431432,2380293,3498309,4482335,831090,38,70455408,13499066,4624742,3252483,4121503,2038974,1938646,1546257,507708,18228495,2081091,2179834,2887132,2397330,2358630,3466430,4475992,850989,106,74073576,13982706,4837487,3411777,4294880,2154034,2019639,1611703,558990,19387551,2197106,2291890,3038547,2519052,2500682,3631035,4718536,917914,47,77558386,14656127,4974889,3461331,4586787,2215918,2102655,1638730,612111,20775255,2289719,2385627,3184715,2588903,2578822,3709248,4826057,971492,-,78557569,14550103,5054430,3580477,4704964,2249750,2142124,1648161,645445,21128150,2332245,2434713,3250542,2597581,2606963,3763344,4863308,1005271,-
"공공용",소계,21422339,3624262,1279869,661680,892624,495329,1009641,372416,32970,5125386,1229972,1123754,1049549,879868,835185,1364412,1198079,243851,3492,21982157,3678016,1211194,720295,907600,508170,994017,416334,158417,5265656,1227319,1157096,1026569,905862,848671,1416472,1287147,250462,2860,21669250,3577029,1167560,720034,885272,490832,996964,420002,192574,5137297,1234181,1140218,992261,905035,854225,1411809,1294726,246012,3219,22178571,3639448,1174232,747243,901663,519066,948718,433216,246413,5127615,1302530,1192535,1007144,997780,888012,1460187,1329556,259990,3223,22908419,3665453,1220802,779742,891181,549136,945572,450158,274841,5337048,1338782,1204239,1065147,1057537,930548,1522577,1388559,286688,408,23604532,3581534,1305876,826396,921748,565527,954681,489865,299675,5533662,1400421,1267140,1089613,1096968,964024,1578115,1427560,301727,24568575,3718778,1345988,863982,951152,577510,1031276,506777,317409,5763235,1496466,1301822,1135633,1132037,995476,1648637,1465601,315891,905,24458147,3697299,1332992,852760,947488,574010,1042761,479123,329515,5768005,1435426,1315758,1121458,1117306,1000292,1661268,1456429,323854,2403,23622904,3432231,1249802,808903,871533,524607,1029942,457346,326228,5665320,1385801,1265385,1061727,1066828,1177568,1586986,1395218,316304,1175,25025912,3575378,1280159,866403,943788,568578,1107741,505195,342947,5941474,1478686,1360538,1121942,1082470,1373405,1706260,1437292,333656,-,26218458,3731551,1318967,896890,1061842,596484,1196638,540143,369610,6148678,1562036,1414053,1205339,1117563,1384767,1790827,1522501,360568,-
"서비스업",소계,132498774,28116229,7337031,5378230,6326536,3036596,3760029,3440380,107229,29826560,5985865,4535277,6603709,4742703,5128688,8288663,8152875,1721762,10412,132054877,27462677,7330290,5308713,6281839,3031697,3758077,3675815,476738,29980799,5947614,4536270,6399261,4696897,5070480,8116028,8175464,1798799,7419,128629517,26463097,7141257,5137239,6175099,2985154,3640153,3392090,465186,29681236,5766094,4354886,6258873,4537971,4969124,7824164,7973643,1854989,9262,132049197,26735844,7211682,5203463,6364880,3036910,3779404,3495222,519738,30798442,5865276,4477619,6753172,4671358,5157332,7864509,8136258,1969206,8882,137982086,27585977,7539824,5368813,6846858,3115344,3935470,3843139,590633,32219335,6179523,4652918,7167562,4814017,5422859,8140209,8416652,2141850,1105,140952297,27647345,7582169,5470438,7154416,3174973,3955921,3649386,645424,33434551,6203749,4804638,7164439,4910318,5690659,8487402,8667737,2308732,149983025,28584165,7736225,5675069,7820525,3293830,4107000,3982738,716973,36852914,6439502,5384580,7643615,5258501,5936592,9019634,9097115,2433585,462,148310526,28337213,7510465,5591492,7797607,3234348,4067843,3780243,770635,36766527,6289923,5305664,7583962,5152493,6069505,8724876,8861115,2465336,1277,144443994,26860179,7416837,5406278,7391006,3165538,4026171,3614653,806969,36288050,6175120,5212990,7468271,5048965,5708835,8480620,8915532,2457351,628,148181597,27499011,7507103,5562421,7572381,3272320,4112045,3497844,1520211,37299472,6398541,5365193,7230648,5146076,5739917,8788905,9042660,2626848,-,155219784,28974161,7934443,5850911,8047040,3388222,4281816,3481349,290326,40545794,6626692,5613790,7707805,5313085,5915581,9033740,9371342,2843687,-
"농림어업",소계,12074003,14928,97763,64790,103592,65475,25297,77373,16863,1985029,431374,553410,1547733,1010655,2225686,1298131,1492768,1063136,0,13061606,13887,93161,67041,103997,70262,25826,80826,65814,2087187,465744,583998,1602407,1076552,2438191,1412155,1701768,1172790,0,13556459,13361,95473,63345,114712,71219,26491,79596,65955,2140966,507427,605989,1628947,1120214,2544135,1440916,1784500,1253213,0,14644965,14231,96752,66068,132422,72806,28359,74015,73944,2263979,546991,668578,1767004,1285640,2743853,1588826,1930699,1290798,0,15396810,14684,106631,68684,142255,74005,27562,76079,79228,2338988,577378,709252,1875034,1384058,2881301,1662500,2050330,1328839,-,15981131,15150,107927,69142,142953,74608,28643,80221,69469,2371347,607139,721131,1928066,1415004,3096126,1747462,2141813,1364930,17126089,15917,121838,71615,149307,76172,31998,83071,78781,2542274,659119,805162,2112522,1528635,3268746,1896131,2250820,1433981,-,17304666,15194,110821,71232,151959,74320,32481,80392,81895,2605405,693533,837037,2136303,1537829,3268517,1927672,2211889,1468187,-,17036658,14757,106915,72005,143486,72418,32961,80504,83300,2527503,698450,834980,2043578,1547056,3187514,1937129,2254783,1399316,-,18496161,19189,110847,79759,166780,76903,37039,90321,90952,2712094,783547,920412,2291760,1704721,3461170,2135822,2369741,1445104,-,19285373,19956,112183,85684,165992,87214,39500,92980,91637,2803262,791361,956883,2389068,1784102,3636671,2295285,2414495,1519101,-
"광업",소계,1616371,11283,20053,3635,72399,1331,1967,20415,4224,245369,343841,105055,417407,65833,59315,167680,69323,6927,314,1478042,2715,20557,3874,70069,1939,2350,20051,18440,236524,347751,110890,255449,68120,64730,172737,74589,7083,174,1570929,2703,22702,4113,73523,2302,2281,19389,19669,244570,364636,113110,274278,70214,60894,214434,75692,6217,202,1630854,3106,21068,4444,83342,2430,2532,20661,22505,259545,367336,116955,280838,69440,64881,223169,82166,6266,170,1754503,3594,23195,4703,92925,2280,2113,21516,20193,299012,401251,129606,292888,69160,68567,229232,87007,7239,21,1746243,4064,25289,5858,71529,2898,3326,20103,16364,317263,398287,139856,248313,85300,73217,224568,95989,14019,1478380,2609,20964,5778,44716,1715,884,16310,13123,282987,390573,117622,168165,62903,65946,208318,71211,4556,-,1492515,2067,18191,6673,46549,1780,982,13076,13779,274639,408545,123427,172239,64056,73913,200766,67524,4309,-,1552100,1946,18093,11484,53695,1754,906,13973,10923,258425,446395,127046,198913,65127,75960,197009,65373,5078,-,1806892,1902,19576,15128,87829,3490,877,15117,11510,271724,452010,128817,341587,69757,82528,228781,68712,7547,-,1758985,2004,20393,16922,86695,3438,1175,13921,11588,261890,445375,124485,339103,66663,76732,219137,61534,7929,-
"제조업",소계,235445313,2065958,7487361,5796029,11662470,2771323,2516982,24036707,381428,47664290,6037038,13146375,32355565,12495135,18048189,30546652,18074967,194727,164117,242301428,2077962,7272494,5903488,11666153,2811367,2588699,24354713,1468720,49102739,5920815,13361293,33734544,12678628,19673192,31149611,18236426,207635,92949,249490234,2070544,7244302,5960292,11733166,2806354,2610211,24784494,1501059,49684965,6037531,14073780,35716859,13427765,21131433,32006769,18323406,211994,165310,249357182,2024028,7146285,5902315,12067082,2821914,2574509,24812786,1505815,50991294,6236052,14553036,34968111,12786226,21578576,30643227,18340103,227661,178162,252824020,1911951,7104377,5902508,12083058,2869458,2569807,26215841,1503823,52898480,6073473,15301673,35424074,13068299,21511674,29799399,18328702,238493,18932,258944827,1918893,7512587,5862634,12367815,2910767,2608343,25883132,1502923,56603326,6002307,15883431,37057955,12965874,21453926,30115601,18053777,241536,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",식료품,9792879,242808,522468,195756,581697,153491,169633,199490,25065,2149007,406607,945491,963058,1311886,408848,505682,882181,128655,1056,10018478,236744,519316,200149,567333,155535,176950,197990,103398,2187404,415908,966133,927064,1375086,434041,517437,897431,139874,685,10105221,233416,509703,201265,578993,150697,192047,196046,107589,2222326,426208,997669,959565,1336627,433178,510954,903905,144223,810,10485097,235680,520845,205423,594980,151856,195676,192087,113300,2343302,462882,1047696,1007490,1372945,443810,531246,909615,155408,856,10998804,232568,527116,211378,625099,161844,203781,198879,114202,2475853,497108,1122785,1046008,1442112,496832,556234,925244,161661,100,11282454,227077,532943,212626,641088,161072,204171,187738,110211,2544420,546621,1152073,1137035,1459217,511361,566071,932743,155987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",섬유 의복,12723373,516170,613058,1325169,114388,319034,45426,1063263,16972,2285536,10570,402341,440894,698339,119758,4303745,384447,1219,63044,12428656,511595,605678,1291907,107328,318928,44581,1030273,72894,2226111,12410,405861,377096,793764,123227,4094785,377365,1294,33559,11965254,494311,559687,1235868,88592,317248,41653,979710,74428,2101197,11575,407253,363123,788774,141168,3925426,364838,1197,69206,11604490,494454,544803,1139347,75610,322000,43412,992870,73993,2063141,12402,393696,311320,812727,146351,3753969,347479,1182,75734,11425575,509844,537561,1108447,77205,308617,44281,968550,75639,2104730,13250,350549,269725,777728,158529,3764806,347441,1151,7524,11260607,497699,528513,1057342,75895,295922,41687,943299,70617,2109963,13027,333846,269998,731651,160506,3780171,346974,3497,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",목재 나무,1771975,5430,64533,18330,642429,6239,7893,14515,1729,489731,15188,35271,40155,272640,23934,67583,65234,1141,0,1858882,5080,60009,19270,620569,5768,9883,15095,6439,532361,15450,40761,86512,280525,24470,70446,65106,1138,0,1927731,4288,55696,17116,632866,5964,10086,14721,5110,534860,16656,48510,131999,288786,25728,69599,64602,1144,0,1903958,4460,54870,15956,635370,6299,10080,14281,1624,527824,18438,51720,131316,274035,26174,66717,63566,1228,0,1917895,4351,54228,15916,644686,6064,4478,13421,1393,538295,19039,50726,131010,274701,26791,70680,60612,1504,-,1925029,4399,51980,16215,639429,6782,4311,12286,1324,529274,19147,51682,134109,291729,27998,72680,60160,1524,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",펄프 종이,8513142,37118,26596,434094,56935,30152,579240,640025,83500,1924251,27284,1010573,899639,1411677,313406,305496,706484,18309,8363,8689559,37446,27393,443535,55850,31003,580386,650356,345629,1935883,26343,843718,794953,1418780,317065,306859,849068,20440,4852,8547864,36901,25015,426168,55723,30951,576023,621349,338085,1859121,24814,854073,793968,1413572,305032,309299,850281,19583,7906,8521617,39135,25071,410334,55950,37986,577350,616237,351564,1871310,21970,847104,807825,1303163,315523,357586,856133,19115,8261,8615101,42941,25880,428370,58092,41467,548247,635512,356394,1870281,23602,888072,814073,1349266,321116,368699,823178,19067,844,8386401,43281,27240,445646,57159,41827,539332,620457,350896,1917458,24382,880020,809760,1282937,145685,361772,817685,20864,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
