"용도별(1)",용도별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"용도별(1)",용도별(2),계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성
"합계",소계,509269715,45787926,20503969,14758568,23638583,8531108,9405221,33157834,3393223,124688964,16120067,26901894,50422732,20538912,30973975,41001627,34069974,5373288,1850,533430811,47295807,21067833,15443949,24901194,8973447,9748621,33593123,4295363,133445948,16808006,28402063,48801626,21486861,33486886,44258297,35734059,5687730,-,547932742,48788677,21493648,16039260,25506864,9116871,10016877,32919181,3182079,140531012,17325520,29412227,50259638,21838474,34665105,44601033,36190920,6045356,-
"가정용",소계,74073576,13982706,4837487,3411777,4294880,2154034,2019639,1611703,558990,19387551,2197106,2291890,3038547,2519052,2500682,3631035,4718536,917914,47,77558386,14656127,4974889,3461331,4586787,2215918,2102655,1638730,612111,20775255,2289719,2385627,3184715,2588903,2578822,3709248,4826057,971492,-,78557569,14550103,5054430,3580477,4704964,2249750,2142124,1648161,645445,21128150,2332245,2434713,3250542,2597581,2606963,3763344,4863308,1005271,-
"공공용",소계,23622904,3432231,1249802,808903,871533,524607,1029942,457346,326228,5665320,1385801,1265385,1061727,1066828,1177568,1586986,1395218,316304,1175,25025912,3575378,1280159,866403,943788,568578,1107741,505195,342947,5941474,1478686,1360538,1121942,1082470,1373405,1706260,1437292,333656,-,26218458,3731551,1318967,896890,1061842,596484,1196638,540143,369610,6148678,1562036,1414053,1205339,1117563,1384767,1790827,1522501,360568,-
"서비스업",소계,144443994,26860179,7416837,5406278,7391006,3165538,4026171,3614653,806969,36288050,6175120,5212990,7468271,5048965,5708835,8480620,8915532,2457351,628,148181597,27499011,7507103,5562421,7572381,3272320,4112045,3497844,1520211,37299472,6398541,5365193,7230648,5146076,5739917,8788905,9042660,2626848,-,155219784,28974161,7934443,5850911,8047040,3388222,4281816,3481349,290326,40545794,6626692,5613790,7707805,5313085,5915581,9033740,9371342,2843687,-
"농림어업",소계,17036658,14757,106915,72005,143486,72418,32961,80504,83300,2527503,698450,834980,2043578,1547056,3187514,1937129,2254783,1399316,-,18496161,19189,110847,79759,166780,76903,37039,90321,90952,2712094,783547,920412,2291760,1704721,3461170,2135822,2369741,1445104,-,19285373,19956,112183,85684,165992,87214,39500,92980,91637,2803262,791361,956883,2389068,1784102,3636671,2295285,2414495,1519101,-
"광업",소계,1552100,1946,18093,11484,53695,1754,906,13973,10923,258425,446395,127046,198913,65127,75960,197009,65373,5078,-,1806892,1902,19576,15128,87829,3490,877,15117,11510,271724,452010,128817,341587,69757,82528,228781,68712,7547,-,1758985,2004,20393,16922,86695,3438,1175,13921,11588,261890,445375,124485,339103,66663,76732,219137,61534,7929,-
"제조업(10차)",소계,248540483,1496106,6874835,5048120,10883983,2612757,2295602,27379654,1606813,60562115,5217195,17169602,36611696,10291884,18323416,25168848,16720533,277326,-,262361863,1544200,7175259,5458907,11543628,2836237,2388264,27845916,1717632,66445929,5405503,18241476,34630974,10894934,20251044,27689281,17989597,303083,-,266892573,1510903,7053232,5608376,11440330,2791763,2355623,27142626,1773473,69643238,5567812,18868303,35367782,10959480,21044390,27498700,17957740,308801,-
"제조업(10차)",식료품,11533642,222159,546699,206864,612767,126609,135928,176248,108099,2598805,477667,1141813,1291029,1603189,824544,529620,835040,96560,-,12114429,229770,588799,215988,647223,135456,141766,181879,110529,2742042,506910,1211162,1341884,1671103,850474,559796,873591,106057,-,12421748,227207,590743,220300,657765,137721,141433,189743,117364,2824176,521518,1256591,1394487,1662983,889927,573159,906129,110502,-
"제조업(10차)",음료,1167144,15226,21762,23020,13872,39221,19024,15155,8587,286869,108102,134583,82097,116298,23114,71796,113144,75274,-,1228555,15592,21263,22341,14937,41626,18495,15115,9363,305586,116978,140690,84892,112874,22894,77073,124395,84441,-,1284194,14982,19976,23859,15232,44451,19163,16025,9409,328630,121385,147833,88804,114893,23036,79636,130360,86519,-
"제조업(10차)",담배,201339,90,4,39,17,13612,68980,-,-,2717,4,8042,13,-,-,36264,71557,-,-,193632,88,4,34,13,14127,64379,-,-,3204,5,5796,14,-,-,34051,71917,-,-,201731,94,4,30,7,16839,66616,-,-,2917,13,5593,16,-,-,37621,71981,-,-
"제조업(10차)",섬유제품,7654031,106325,243663,695674,38124,149103,29093,691708,23684,1427650,11123,173346,161947,636218,172417,2885739,207744,471,-,8165706,108992,261194,734602,38272,140867,30573,794738,26896,1474890,13923,179526,171810,667959,168120,3145234,207626,487,-,7796961,106383,247706,714758,37877,142665,29765,655985,23099,1427360,13094,183100,161444,608019,166032,3076331,202800,543,-
"제조업(10차)",의복모피,583366,298795,41414,39299,11686,1852,2289,963,186,133332,1125,6026,11369,13386,4462,10910,6145,129,-,594224,310266,38375,39972,12711,1801,2399,911,283,137027,1177,5749,9213,13568,4426,10061,6138,146,-,596366,314780,37921,39257,12148,1608,2408,797,215,136465,1275,4776,9500,13430,4623,11030,5979,153,-
"제조업(10차)",가죽가방,459414,21760,99685,6006,6865,160,2388,455,2116,169539,349,58837,15291,5542,586,7914,61910,13,-,472189,21502,104194,4097,6929,154,2896,418,2243,175447,269,61387,15624,5780,605,6774,63853,16,-,464675,21167,101683,4204,6128,150,2816,314,2021,175947,356,61600,12643,4568,503,7252,63317,7,-
"제조업(10차)",목재나무,1702772,4043,42197,15574,525391,6500,4121,14926,1126,482122,22574,51756,121805,252491,23691,74022,59066,1367,-,1760584,4201,45325,16502,513450,6316,4702,17620,1197,500613,23564,59294,130428,264414,24365,82622,64471,1500,-,1754400,4158,47855,15181,501921,6070,4665,15747,1339,502544,23171,59446,128080,266696,24737,81557,69687,1546,-
"제조업(10차)",펄프종이,7853476,35208,25402,446434,47592,47290,529343,545577,360206,1905291,27286,837563,747915,1071714,96744,338196,770006,21707,-,8009899,37773,29569,459703,50909,50884,540988,580987,370162,1909845,24747,839135,778567,1072650,96801,347648,794446,25088,-,8010151,37111,29691,475283,49295,47687,549647,594967,364592,1889286,25082,848318,769159,1077717,91467,361973,776413,22462,-
"제조업(10차)",인쇄매체,1187799,208348,26351,38487,70008,16579,12592,3155,3928,674797,1952,33505,50773,8125,1850,14231,21963,1156,-,1204470,204727,26082,38962,86836,18402,14821,3633,3866,673633,3678,34065,48617,8464,1916,13735,21711,1322,-,1185383,197759,24933,37325,89117,18773,16606,3190,3461,663157,6522,30243,48673,7538,1936,11861,22899,1391,-
"제조업(10차)",연탄석유,12549563,3080,4830,12786,919199,609,652,6067386,687,39565,1332,15659,3685683,4521,1743493,39821,10213,47,-,13281372,3193,5515,13056,901502,624,618,6085161,317,41939,1257,15947,4368299,3757,1782675,46461,11009,41,-,14037594,3070,5904,12444,795734,741,571,5875330,397,37649,1173,15648,5248896,4247,1975568,49940,10247,35,-
"제조업(10차)",화학,38342495,42680,267302,180967,346736,60415,215052,10260380,130641,5269538,94865,1676841,3692469,2212314,10473373,2651750,739376,27794,-,41256268,42368,274846,190597,366478,69093,227197,11015276,147510,5984298,92586,1786806,3907125,2048646,11517313,2775867,782246,28015,-,40984440,41500,265574,190558,371618,71690,225245,10727845,166838,6122299,90514,1825453,4005245,2108594,11187207,2843567,711849,28844,-
"제조업(10차)",의료의약,2498875,15864,13784,14514,304454,2296,52217,4293,37340,922722,96510,646073,255783,32418,44595,38244,9246,8521,-,2675767,16638,13010,15069,327460,2224,54673,4408,44001,956292,105609,717012,270490,34448,49401,46964,10192,7876,-,2957354,17328,14064,14559,383525,2277,65270,4733,51942,1010213,113429,839219,285679,40828,49450,47267,9830,7739,-
"제조업(10차)",플라스틱,8679049,49764,179985,203705,255463,286646,389169,303144,125710,2207364,82990,1101817,1061731,237358,346503,839925,1000673,7103,-,9473458,49867,193589,215194,276272,316139,374948,596678,127579,2308095,94009,1152168,1106867,250996,370081,939909,1094644,6423,-,9479984,45512,196728,213329,268803,323527,400368,591673,126702,2242761,94301,1163912,1136508,252128,371899,960157,1085717,5959,-
"제조업(10차)",비금속,11154137,24837,77925,67136,175010,21318,50819,163153,379777,1707192,2935972,2160268,841605,611691,543175,965358,405626,23275,-,11700452,24756,89499,76779,196273,22429,52177,175947,396789,1792694,3049750,2294049,893663,616046,567606,993358,432310,26329,-,11798098,22692,87314,77272,202620,22333,36894,171582,400851,1764804,3088865,2361003,887874,593438,555147,1052451,446254,26706,-
"제조업(10차)",1차금속,36342999,12718,1958849,271550,1879205,58784,48889,4988678,34870,1847768,952602,372026,8185862,1823963,2730658,7763869,3411173,1535,-,35043680,12425,2005157,280566,1985355,54321,48358,4100923,39712,1980014,944326,391285,4722811,2318215,3384074,9051156,3722344,2639,-,35043548,12209,1876308,284163,1961718,45593,49150,3905498,39146,1989370,1032633,397056,4760849,2359042,4134280,8559279,3634607,2647,-
"제조업(10차)",금속가공,8408635,50703,762541,572871,616181,151631,58462,201821,12054,2093731,33817,781119,531171,128748,134929,782637,1493431,2787,-,8764295,51333,786774,612020,624201,164353,57161,192940,12525,2158925,34831,805879,564207,133950,136578,806988,1618947,2683,-,8658993,49165,790408,610077,591609,152764,52245,203251,12602,2107355,36381,799053,564695,138321,135635,796904,1615639,2888,-
"제조업(10차)",전자통신,53310591,44816,96405,256179,1081011,739773,241084,35894,221384,29374462,50381,4908533,11303599,430232,46236,3971468,508042,1094,-,57788476,62799,102955,259983,1307722,816994,298833,35984,234153,33034901,58655,5191666,11086797,459813,55441,4149463,630793,1523,-,60192109,57524,102227,293622,1385964,799169,225366,37322,254929,35973675,63910,5269241,10552175,450531,55980,4026262,642572,1639,-
"제조업(10차)",의료광학,3843330,43400,65270,76337,1946059,27611,47254,16186,2243,533506,32685,72516,559275,23341,11653,163072,222131,793,-,4143844,43783,67875,90830,2021417,28650,47503,18490,2681,597352,37216,87311,631219,27410,12480,186291,242550,787,-,4089654,42209,74782,92253,1971475,30906,48213,20107,5186,610610,38626,97045,573036,29450,11340,195153,248431,829,-
"제조업(10차)",전기장비,6901744,16727,127845,199516,165455,223136,85885,492203,45450,1020526,37777,1378199,867279,145635,355641,841972,897706,794,-,7710495,19253,137952,297138,185469,233907,89024,570876,70821,1115707,37035,1477416,917515,158572,460652,980590,957698,871,-,8219224,20629,145180,345497,176560,214136,90056,596599,72778,1102856,36186,1611294,912884,147319,602365,1176768,966754,1363,-
"제조업(10차)",기타기계,10169452,133553,933894,455177,822802,183282,88756,178864,28610,3535883,32410,379705,685046,151138,63036,754325,1740942,2030,-,11131487,136043,985736,490896,893800,202561,94759,181995,32801,3927790,30084,444625,766500,164708,68093,821257,1887576,2263,-,11391011,130011,991814,502110,875680,186910,97276,188377,34540,4010473,31258,501182,846541,163723,69395,856409,1902953,2359,-
"제조업(10차)",자동차,16488546,16446,1087609,1178526,495891,441849,183515,2200235,75118,2713817,134128,641910,2339241,721023,66161,2217993,1974287,797,-,17983076,16930,1129922,1286734,502177,500347,190949,2265967,78725,2905822,173438,711643,2690227,796880,66655,2424074,2242292,292,-,18516600,17163,1141997,1344879,509997,511515,197990,2302894,80873,2966598,171311,740918,2851712,841566,74006,2495338,2267550,294,-
"제조업(10차)",기타운송,4169684,19093,205873,47081,60730,5575,8477,1016201,87,68697,64819,13708,28912,40528,589862,118542,1881060,439,-,4103124,19758,218617,48875,51922,6020,8038,1003006,136,80430,37589,15741,32899,39754,583010,134834,1822116,378,-,4225727,20411,213351,48155,54709,5202,9411,1036886,179,87955,37092,25916,35101,46823,592840,144343,1866980,375,-
"제조업(10차)",가구,672950,3444,9689,9723,108125,5052,3919,1476,394,417469,6479,42821,8648,4177,6970,22068,21334,1163,-,702199,3520,10187,15859,114586,5048,4032,1215,469,442026,6872,29410,9274,4523,7495,24383,22047,1252,-,699459,3232,8926,15526,115207,5285,4067,1839,563,441144,7699,25935,9859,6185,7868,23306,21545,1273,-
"제조업(10차)",기타제품,2589300,105774,33203,29143,377956,2163,17447,655,4227,1113608,7434,528405,77402,12654,6411,23915,247649,1254,-,2780810,107280,36174,31556,414074,2155,18654,800,4548,1181054,7982,578663,76101,15024,6263,25115,273972,1397,-,2802802,103130,35418,31905,401582,2064,19730,864,4144,1209204,8947,592825,77816,16004,5921,25050,266779,1418,-
"제조업(10차)",산업기계,76149,1251,2654,1510,3384,1691,248,899,289,15146,2813,4532,5752,5178,13314,5199,11067,1223,-,79373,1343,2645,1555,3637,1739,322,950,327,16302,3012,5050,5933,5380,13625,5577,10717,1259,-,80369,1476,2722,1830,4037,1687,652,1058,305,15791,3071,5104,6106,5439,13228,6085,10469,1310,-
